City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-joseph,-21.3667,55.6167,20.21,66,41,4.0,RE,1719759556
1,umm kaddadah,13.6017,26.6876,36.61,25,95,6.72,SD,1719759557
2,port-aux-francais,-49.35,70.2167,2.19,99,100,10.93,TF,1719759558
3,edinburgh of the seven seas,-37.0676,-12.3116,15.35,98,100,9.34,SH,1719759560
4,adamstown,-25.066,-130.1015,19.17,55,39,12.17,PN,1719759561
5,constantia,44.1833,28.65,29.38,57,0,6.23,RO,1719759409
6,lerma,42.0261,-3.7598,20.31,42,84,3.25,ES,1719759564
7,ushuaia,-54.8,-68.3,0.81,93,100,7.2,AR,1719759566
8,huarmey,-10.0681,-78.1522,20.44,73,74,4.23,PE,1719759567
9,carnarvon,-24.8667,113.6333,18.28,56,0,6.69,AU,1719759568
10,bethel,41.3712,-73.414,30.0,72,40,3.09,US,1719759570
11,puerto natales,-51.7236,-72.4875,-0.75,93,40,2.06,CL,1719759571
12,acajutla,13.5928,-89.8275,28.34,73,100,1.9,SV,1719759573
13,san luis de la loma,17.2706,-100.8939,27.33,85,100,0.63,MX,1719759574
14,qaqortoq,60.7167,-46.0333,4.22,70,12,2.03,GL,1719759575
15,puerto ayora,-0.7393,-90.3518,21.98,96,92,2.24,EC,1719759577
16,orange walk,17.8333,-88.8333,29.3,79,96,3.88,BZ,1719759578
17,yaren,-0.5472,166.916,28.28,75,69,4.64,NR,1719759580
18,nchelenge,-9.3451,28.734,24.88,45,15,2.85,ZM,1719759581
19,lihue,21.9789,-159.3672,22.58,87,14,3.5,US,1719759583
20,blackmans bay,-43.0167,147.3167,4.85,90,91,0.89,AU,1719759463
21,christchurch,-43.5333,172.6333,12.11,66,100,5.66,NZ,1719759527
22,coquimbo,-29.9533,-71.3436,14.43,92,40,2.06,CL,1719759588
23,waitangi,-43.9535,-176.5597,10.03,72,6,1.94,NZ,1719759590
24,diapaga,12.0708,1.7889,35.76,36,63,0.86,BF,1719759591
25,nuuk,64.1835,-51.7216,3.82,93,94,3.58,GL,1719759593
26,thompson,55.7435,-97.8558,20.09,42,0,3.09,CA,1719759595
27,laboulaye,-34.1266,-63.3912,11.93,29,0,4.26,AR,1719759596
28,miandrivazo,-19.5167,45.4667,23.61,23,1,2.42,MG,1719759598
29,infantes,38.7367,-3.0122,27.23,22,23,5.64,ES,1719759600
30,papatowai,-46.5619,169.4708,8.66,81,100,1.53,NZ,1719759604
31,hasaki,35.7333,140.8333,26.27,83,97,11.86,JP,1719759607
32,kuraymah,18.55,31.85,42.17,6,9,2.88,SD,1719759502
33,grytviken,-54.2811,-36.5092,-6.27,74,15,4.13,GS,1719759614
34,la palma,33.8464,-118.0467,25.88,88,100,1.54,US,1719759616
35,coyhaique,-45.5752,-72.0662,5.34,98,96,2.92,CL,1719759617
36,namibe,-15.1961,12.1522,22.18,61,0,7.59,AO,1719759619
37,tazacorte,28.629,-17.9293,23.42,83,20,7.2,ES,1719759622
38,yellowknife,62.456,-114.3525,21.34,61,64,0.92,CA,1719759625
39,saipan,15.1355,145.701,28.83,78,45,6.43,MP,1719759624
40,badger,64.8,-147.5333,19.84,76,92,0.49,US,1719759372
41,verkhnevilyuysk,63.4453,120.3167,15.66,74,17,2.01,RU,1719759630
42,ribeira grande,38.5167,-28.7,25.22,61,20,8.23,PT,1719759632
43,afaahiti,-17.75,-149.2833,22.93,80,16,9.53,PF,1719759633
44,iqaluit,63.7506,-68.5145,3.72,93,100,1.34,CA,1719759637
45,poyang,28.9924,116.6675,25.49,94,100,2.95,CN,1719759639
46,ilulissat,69.2167,-51.1,2.17,91,100,1.01,GL,1719759640
47,crane,31.3974,-102.3501,27.12,55,1,8.38,US,1719759644
48,merizo village,13.2658,144.6691,27.77,91,74,6.43,GU,1719759646
49,wailua homesteads,22.0669,-159.378,22.24,90,12,3.74,US,1719759652
50,kamba,11.8486,3.6576,37.48,32,64,2.71,NG,1719759660
51,las tablas,7.7667,-80.2833,28.52,75,22,5.5,PA,1719759663
52,margaret river,-33.95,115.0667,11.39,78,3,4.25,AU,1719759491
53,hami,42.8,93.45,33.59,18,87,1.92,CN,1719759405
54,tiksi,71.6872,128.8694,6.35,70,72,1.84,RU,1719759670
55,stanley,54.868,-1.6985,15.29,69,75,2.06,GB,1719759672
56,iskateley,67.6803,53.1512,8.56,62,100,6.88,RU,1719759673
57,mandalgovi,45.7625,106.2708,20.84,39,49,6.45,MN,1719759621
58,reguiba,33.5639,6.7033,48.73,4,0,4.04,DZ,1719759676
59,mount pearl,47.5166,-52.7813,15.74,81,100,4.47,CA,1719759678
60,oxapampa,-10.5775,-75.4017,18.58,81,86,0.89,PE,1719759679
61,albany,42.6001,-73.9662,29.23,69,99,1.34,US,1719759681
62,chonchi,-42.6128,-73.8092,7.84,85,95,2.2,CL,1719759682
63,calvinia,-31.4707,19.776,16.38,37,36,4.17,ZA,1719759684
64,iscar,41.3434,-4.5246,24.67,41,100,1.92,ES,1719759686
65,quelimane,-17.8786,36.8883,21.01,87,15,2.31,MZ,1719759687
66,los llanos de aridane,28.6585,-17.9182,21.74,83,20,7.2,ES,1719759690
67,invercargill,-46.4,168.35,8.34,94,100,1.72,NZ,1719759621
68,bilibino,68.0546,166.4372,13.85,76,95,1.58,RU,1719759693
69,hemet,33.7475,-116.972,30.68,37,0,0.89,US,1719759695
70,fairbanks,64.8378,-147.7164,19.34,75,95,0.42,US,1719759696
71,severo-yeniseyskiy,60.3725,93.0408,18.63,80,72,2.32,RU,1719759698
72,uturoa,-16.7333,-151.4333,26.47,73,30,10.45,PF,1719759699
73,lebu,-37.6167,-73.65,10.19,79,96,4.25,CL,1719759701
74,fada,9.5667,8.3,27.97,62,80,3.77,NG,1719759703
75,sibut,5.718,19.0739,29.46,55,93,2.44,CF,1719759704
76,ngetkib,7.3645,134.5148,26.59,85,100,4.52,PW,1719759706
77,mersa matruh,31.3525,27.2453,27.44,66,0,7.68,EG,1719759707
78,kavieng,-2.5744,150.7967,28.07,80,41,6.55,PG,1719759709
79,nungwi,-5.7265,39.2987,26.29,74,3,7.02,TZ,1719759710
80,lazaro cardenas,17.9583,-102.2,28.06,72,41,0.22,MX,1719759712
81,jinchang,38.4953,102.1739,21.54,43,100,3.2,CN,1719759714
82,zempoala,19.45,-96.4167,26.06,79,100,1.44,MX,1719759715
83,west island,-12.1568,96.8225,26.99,78,40,7.2,CC,1719759717
84,whitehorse,60.7161,-135.0538,15.45,62,99,5.36,CA,1719759720
85,hithadhoo,-0.6,73.0833,28.82,72,42,2.96,MV,1719759722
86,port alfred,-33.5906,26.891,16.21,86,43,0.89,ZA,1719759724
87,paracuru,-3.41,-39.0306,28.95,57,67,5.9,BR,1719759726
88,brookings,44.3114,-96.7984,18.36,62,4,2.55,US,1719759728
89,chul'man,56.8479,124.9104,12.86,91,44,0.92,RU,1719759729
90,balnearia,-31.0088,-62.6673,13.13,30,26,8.46,AR,1719759731
91,dalnegorsk,44.5604,135.5701,15.88,98,100,0.83,RU,1719759732
92,mogocha,53.7333,119.7667,15.87,68,73,1.02,RU,1719759734
93,anadyr,64.75,177.4833,4.28,100,40,4.0,RU,1719759735
94,mount gambier,-37.8333,140.7667,8.28,80,99,2.3,AU,1719759737
95,punta arenas,-53.15,-70.9167,0.06,100,40,4.63,CL,1719759738
96,arkalyk,50.2486,66.9114,15.28,61,89,6.52,KZ,1719759741
97,colonia,50.9333,6.95,22.29,67,75,5.66,DE,1719759516
98,lata,40.1629,-8.3327,20.51,61,97,3.57,PT,1719759744
99,san bernardo del viento,9.3533,-75.9524,29.42,72,11,1.78,CO,1719759746
100,vila franca do campo,37.7167,-25.4333,23.23,99,56,4.32,PT,1719759747
101,castillos,-34.1667,-53.8333,8.44,56,6,4.88,UY,1719759749
102,port elizabeth,-33.918,25.5701,17.83,83,86,0.89,ZA,1719759710
103,arraial do cabo,-22.9661,-42.0278,20.91,66,99,4.64,BR,1719759752
104,fort bragg,35.139,-79.006,34.55,67,0,3.6,US,1719759754
105,chadron,42.8294,-102.9999,20.86,61,22,4.92,US,1719759755
106,bredasdorp,-34.5322,20.0403,15.5,76,2,4.1,ZA,1719759757
107,st. john's,47.5649,-52.7093,16.2,81,100,0.89,CA,1719759758
108,revda,56.801,59.9303,16.54,63,1,2.55,RU,1719759760
109,kuhsan,34.6539,61.1978,32.83,18,16,11.34,AF,1719759761
110,ponta delgada,37.7333,-25.6667,23.4,68,75,6.17,PT,1719759763
111,mafeteng,-29.823,27.2374,13.2,43,17,1.9,LS,1719759765
112,khandyga,62.6667,135.6,13.88,60,99,2.14,RU,1719759766
